partipcod,parnom,disnom,cornom,nivel,latitud,longitud,tipodet,ts,nivel_lbl
1,Av Angamos Oeste-Av Arequipa,Miraflores,NA,2,-12.113771,-77.030167,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Angamos Oeste-Av Cmte Espinar,Miraflores,NA,2,-12.113923,-77.036781,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Angamos Oeste-Ca Almte Cochrane,Miraflores,NA,1,-12.111652,-77.042343,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Angamos Oeste-Ca Gral Borgoto,Miraflores,NA,2,-12.1138,-77.033249,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Angamos Oeste-CaIgnacio Merino,Miraflores,NA,1,-12.110807,-77.043442,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Angamos Oeste-Santa Crruz,Miraflores,NA,1,-12.11396,-77.039619,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Angelica Gamarra-CaCarrion,Los Olivos,NA,3,-12.006474,-77.078957,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Angelica Gamarra-Interseccion Con La Av Jose C Mariategui,Los Olivos,NA,3,-12.006276,-77.07637,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Angelica Gamarra-Interseccion Con La Ca Cesar Vallejo,Los Olivos,NA,3,-12.006345,-77.078598,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Antigua Pan Sur-Av Lima,Lurin,NA,1,-12.253943,-76.903786,Transporte Regular,2021-05-15T20:22:17Z,Moderado
